university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count
University of Oxford,2022,2,99.5,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,Public,Very High,3,"8,442",L,"6,708"
University of Cambridge,2022,3,98.7,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,Public,Very high,4,"7,925",L,"5,800"
Imperial College London,2022,7,97.3,https://www.topuniversities.com/universities/imperial-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,Public,Very High,5,"11,143",L,"8,000"
ETH Zurich - Swiss Federal Institute of Technology,2022,8,95.4,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,Zürich,Europe,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,Public,Very High,7,"7,733",L,"2,719"
UCL,2022,8,95.4,https://www.topuniversities.com/universities/ucl,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,Public,Very High,5,"21,824",XL,"7,195"
EPFL,2022,14,90.2,https://www.topuniversities.com/universities/epfl,Switzerland,Lausanne,Europe,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg,Public,Very High,6,"6,426",M,"1,767"
The University of Edinburgh,2022,16,89.9,https://www.topuniversities.com/universities/university-edinburgh,United Kingdom,Edinburgh,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,Public,Very High,7,"14,637",XL,"4,832"
The University of Manchester,2022,27,84,https://www.topuniversities.com/universities/university-manchester,United Kingdom,Manchester,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg,Public,Very High,8,"16,079",XL,"4,889"
King's College London,2022,35,82,https://www.topuniversities.com/universities/kings-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/kings-college-london_357_small.jpg,Public,Very High,7,"15,075",L,"4,216"
Université PSL,2022,44,77.6,https://www.topuniversities.com/universities/universite-psl,France,"",Europe,https://www.topuniversities.com/sites/default/files/universit-psl_592560e69988f300e2321dfe_small.jpg,Public,Very High,5,"4,922",L,"3,914"
Institut Polytechnique de Paris,2022,49,75.9,https://www.topuniversities.com/universities/institut-polytechnique-de-paris,France,Palaiseau Cedex,Europe,https://www.topuniversities.com/sites/default/files/institut-polytechnique-de-paris_5f3a6d4210ca6076bc71cae4_small.jpg,Public,Very High,6,"2,413",M,"1,057"
The London School of Economics and Political Science (LSE),2022,49,75.8,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg,Public,Very High,10,"8,274",M,"1,172"
Technical University of Munich,2022,50,75.6,https://www.topuniversities.com/universities/technical-university-munich,Germany,Munich,Europe,https://www.topuniversities.com/sites/default/files/technical-university-of-munich_599_small.jpg,Public,Very High,5,"11,447",XL,"6,663"
University of Amsterdam,2022,55,73.8,https://www.topuniversities.com/universities/university-amsterdam,Netherlands,Amsterdam,Europe,https://www.topuniversities.com/sites/default/files/university-of-amsterdam_18_small.jpg,Public,Very High,11,"7,969",XL,"6,000"
